County,2021,2022,2023
Maui + Kalawao,"59,914","60,502","62,816"


Ada,"65,449","69,285","72,588"
Adams,"46,156","43,876","45,707"
Bannock,"46,712","48,013","50,084"
Bear Lake,"46,768","48,079","49,045"
Benewah,"44,951","44,057","45,633"
Bingham,"46,385","47,942","48,780"
Blaine,"164,906","174,956","187,239"
Boise,"53,910","52,428","54,614"
Bonner,"52,470","53,102","55,464"
Bonneville,"63,149","57,516","60,032"
Boundary,"47,362","45,933","47,225"
Butte,"50,683","53,201","51,958"
Camas,"58,862","63,668","60,737"
Canyon,"44,127","46,320","47,903"
Caribou,"47,295","49,659","50,947"
Cassia,"51,427","54,435","54,685"
Clark,"43,093","49,785","44,385"
Clearwater,"42,981","42,711","43,947"
Custer,"50,303","50,311","52,420"
Elmore,"42,978","45,081","46,255"
Franklin,"44,944","45,424","45,872"
Fremont (includes Yellowstone National Park),"45,617","45,770","47,011"
Gem,"48,919","46,064","47,755"
Gooding,"64,452","73,167","63,424"
Idaho,"44,722","43,974","45,574"
Jefferson,"44,799","47,600","48,137"
Jerome,"44,103","47,605","46,359"
Kootenai,"58,725","59,973","63,893"
Latah,"52,151","52,077","54,794"
Lemhi,"52,988","52,590","53,841"
Lewis,"59,839","59,509","54,650"
Lincoln,"45,991","52,145","46,300"
Madison,"27,693","28,113","29,168"
Minidoka,"46,714","49,697","49,862"
Nez Perce,"52,694","53,783","56,586"
Oneida,"46,013","47,436","49,108"
Owyhee,"45,168","49,233","48,928"
Payette,"47,408","48,436","49,505"
Power,"42,972","49,552","46,316"
Shoshone,"47,419","44,455","45,440"
Teton,"59,244","64,721","69,601"
Twin Falls,"47,936","50,313","52,087"
Valley,"63,237","62,842","66,382"
Washington,"42,552","43,825","44,134"


Adams,"55,697","57,228","59,776"
Alexander,"49,962","49,741","52,117"
Bond,"45,108","45,765","47,531"
Boone,"55,207","55,568","57,922"
Brown,"44,442","47,217","48,654"
Bureau,"52,107","52,044","53,797"
Calhoun,"55,676","57,243","58,359"
Carroll,"50,760","52,107","52,391"
Cass,"49,357","51,144","52,006"
Champaign,"54,146","55,685","58,838"
Christian,"48,859","50,613","52,047"
Clark,"51,306","52,897","53,733"
Clay,"49,938","50,214","52,329"
Clinton,"57,979","60,444","63,612"
Coles,"52,546","53,015","55,509"
Cook,"72,316","73,674","77,937"
Crawford,"52,252","57,362","60,780"
Cumberland,"90,014","94,026","97,381"
DeKalb,"50,564","51,245","53,309"
De Witt,"57,394","57,950","58,783"
Douglas,"61,083","69,116","71,677"
DuPage,"85,631","90,599","95,811"
Edgar,"55,301","57,651","57,659"
Edwards,"51,004","51,121","51,839"
Effingham,"60,494","64,480","67,028"
Fayette,"45,092","45,766","46,554"
Ford,"62,312","69,988","71,035"
Franklin,"45,826","45,930","48,167"
Fulton,"47,131","48,618","50,832"
Gallatin,"54,492","55,704","57,607"
Greene,"51,866","54,133","53,257"
Grundy,"59,514","59,578","61,898"
Hamilton,"54,539","53,574","55,005"
Hancock,"56,638","57,764","58,593"
Hardin,"45,728","52,057","55,331"
Henderson,"55,184","58,532","56,375"
Henry,"55,497","56,870","58,648"
Iroquois,"55,664","57,358","57,912"
Jackson,"46,923","47,152","49,775"
Jasper,"56,910","57,063","56,458"
Jefferson,"47,677","47,948","49,840"
Jersey,"52,482","53,488","55,010"
Jo Daviess,"56,553","57,626","59,940"
Johnson,"39,517","39,339","41,389"
Kane,"62,506","64,676","67,922"
Kankakee,"51,544","51,228","53,698"
Kendall,"57,197","58,433","61,717"
Knox,"47,549","47,847","49,682"
Lake,"89,290","94,134","99,895"
LaSalle,"52,415","53,972","56,311"
Lawrence,"39,741","41,947","41,696"
Lee,"51,406","52,132","53,618"
Livingston,"56,627","57,298","57,597"
Logan,"47,569","48,722","49,419"
McDonough,"48,373","49,134","50,246"
McHenry,"63,581","66,047","69,641"
McLean,"58,808","59,028","61,174"
Macon,"56,052","57,486","60,030"
Macoupin,"51,021","52,027","54,510"
Madison,"55,268","56,766","60,115"
Marion,"50,016","51,031","53,678"
Marshall,"55,417","56,538","58,048"
Mason,"55,406","56,410","57,624"
Massac,"45,525","46,204","48,903"
Menard,"56,863","57,660","59,630"
Mercer,"58,919","60,018","59,739"
Monroe,"67,845","70,074","74,760"
Montgomery,"43,913","43,811","45,501"
Morgan,"49,863","50,979","52,865"
Moultrie,"67,136","83,872","85,579"
Ogle,"53,953","55,294","57,128"
Peoria,"56,619","58,580","62,066"
Perry,"43,609","46,262","47,556"
Piatt,"66,112","68,281","70,047"
Pike,"58,100","55,771","56,213"
Pope,"37,659","38,052","40,154"
Pulaski,"47,236","45,684","47,344"
Putnam,"66,997","67,596","70,122"
Randolph,"46,699","46,902","48,860"
Richland,"50,533","52,453","52,848"
Rock Island,"49,048","49,957","52,525"
St. Clair,"54,581","56,220","59,412"
Saline,"46,363","48,673","51,956"
Sangamon,"57,280","57,543","60,497"
Schuyler,"52,438","53,491","53,470"
Scott,"55,478","56,697","56,623"
Shelby,"52,302","53,250","54,393"
Stark,"61,150","62,567","62,669"
Stephenson,"51,950","53,010","54,743"
Tazewell,"55,010","57,098","60,555"
Union,"48,837","48,948","51,681"
Vermilion,"49,237","49,732","51,471"
Wabash,"51,626","52,533","53,847"
Warren,"52,545","56,383","56,656"
Washington,"60,723","61,217","62,378"
Wayne,"48,423","50,816","50,793"
White,"56,269","59,999","61,640"
Whiteside,"52,057","52,882","54,875"
Will,"62,139","64,758","68,225"
Williamson,"51,958","53,071","55,757"
Winnebago,"50,437","51,172","53,553"
Woodford,"60,935","63,709","66,670"


Adams,"47,675","50,123","50,881"
Allen,"56,218","58,417","60,607"
